cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
sacituzumab govitecan,clinical_outcome,OS,quality_attribute,increases,1,1,high,"sacituzumab govitecan improved OS [HR 0.64; 95% CI 0.48, 0.85; P=0.002]",40624355
sacituzumab govitecan,clinical_outcome,ORR,quality_attribute,increases,1,1,high,"sacituzumab govitecan increased ORR [RR 2.84; 95% CI 1.27, 6.37; P=0.01]",40624355
sacituzumab govitecan,clinical_outcome,adverse events,quality_attribute,increases,1,1,high,sacituzumab govitecan was associated with higher incidence of AEs (P<0.00001),40624355
local geometry,sequence_structure,aggregation rate,quality_attribute,promotes,1,1,high,using local geometrical surface curvature of proteins as the core element for protein stability analysis.,40753112
hydrophobicity,sequence_structure,aggregation predictive features,quality_attribute,modifies,1,1,medium,"By combining local surface curvature and hydrophobicity, we are able to construct aggregation predictive features.",40753112
AI-MD platform,formulation_factor,prediction accuracy,quality_attribute,increases,1,1,medium,demonstrate the prediction of aggregation rate in monoclonal antibodies with beyond state-of-the-art reliability.,40753112
high concentration,formulation_factor,aggregation rates,quality_attribute,increases,1,1,high,predict therapeutic antibody aggregation rates and viscosity at high concentrations (150 mg/ml),35075980
hydrophobicity identification,sequence_structure,development,clinical_outcome,promotes,1,1,medium,The methodologies of hydrophobicity identification and sequence optimization could serve as a blueprint for rapid develo,38214660
negative charge map (heavy chain),sequence_structure,viscosity,quality_attribute,modifies,1,1,high,spatial negative charge map on the heavy chain variable region...highest accuracy is a logistic regression model,35075980
negative charge map (light chain),sequence_structure,viscosity,quality_attribute,modifies,1,1,high,spatial negative charge map on the light chain variable region...highest accuracy is a logistic regression model,35075980
hydrophobic residues,sequence_structure,viscosity,quality_attribute,modifies,1,1,high,number of hydrophobic residues on the light chain variable region...best model is a logistic regression model,35075980
light chain charges,sequence_structure,viscosity,quality_attribute,modifies,1,1,high,net charges on the light chain variable region...best model is a logistic regression model,35075980
aggregation rates,quality_attribute,stability,clinical_outcome,correlates,1,1,medium,The aggregation rates and viscosity models can be used to predict antibody stability,35075980
isothermal calorimetry,formulation_factor,denaturation kinetics,degradation_pathway,induces,1,1,high,isothermal calorimetry is able to provide critical information regarding the kinetics of denaturation/aggregation,30096280
isothermal DSC,formulation_factor,long-term stability,quality_attribute,promotes,1,1,medium,can become an important tool for determining the long term stability of biologics,30096280
initial high molecular weight,quality_attribute,particle formation,degradation_pathway,destabilizes,1,1,high,initial level of high molecular weight (HMW) species...influences the propagation of protein particle formation,39426179
positive charge map,sequence_structure,aggregation rates,quality_attribute,modifies,1,1,high,spatial positive charge map on the CDRH2...predicting antibody aggregation rates (r=0.89),35075980
L:P141G mutation,sequence_structure,Tm,quality_attribute,decreases,1,1,high,"the thermostability of the L:P141G...was significantly reduced, with decreases in Tm of 3.0C.",37390406
cis conformation,sequence_structure,stability,quality_attribute,requires,1,1,medium,the interactions of the aromatic ring with a cis-form proline...is important for stability of Fab.,37390406
allotypic variations,sequence_structure,melting profile,quality_attribute,destabilizes,1,1,high,Allotypic variations affected melting profiles of dKiH Fc proteins.,33928224
allotypic variations,sequence_structure,thermal stability,quality_attribute,destabilizes,1,1,medium,Allotypic variations affected melting profiles of dKiH Fc proteins.,33928224
G1m1 allotype,sequence_structure,melting temperature,quality_attribute,increases,1,1,high,slightly higher melting temperature of G1m1 than nG1m1.,33928224
native mass spectrometry,formulation_factor,in vivo stability,clinical_outcome,stabilizes,1,1,high,...high-resolution mass spectrometers presents the advantage of measuring exposure readout as well as monitoring the cha,38812280
cysteine-conjugated ADCs,sequence_structure,quaternary structure,sequence_structure,requires,1,1,medium,...site-specific cysteine-conjugated ADCs often rely on non-covalent association to retain their quaternary structure...,38812280
quantitation workflow,formulation_factor,ADC stability,clinical_outcome,promotes,1,1,medium,...enabling an in-depth understanding of ADC stability and safety in vivo.,38812280
CH1-CL crossover,sequence_structure,target binding,quality_attribute,destabilizes,1,1,medium,has no detectable influence on target binding.,23613981
LNP-mRNA formulation,formulation_factor,immunogenicity,clinical_outcome,increases,1,1,high,LNPs containing mRNA encoding virus and parasite antigens were highly immunogenic.,40102899
encapsulation efficiency,quality_attribute,immunogenicity,clinical_outcome,increases,1,1,medium,mRNA encapsulation efficiency was higher than 85%.,40102899
novel lipid composition,formulation_factor,stability,quality_attribute,promotes,1,1,medium,"evaluated the physical-chemical properties, stability, and biodistribution of an LNP-mRNA formulation produced using a n",40102899
intramuscular injection,formulation_factor,luciferase activity,quality_attribute,induces,1,1,high,"detected luciferase activity in the injection site, as well as in the liver and spleen.",40102899
stability studies,quality_attribute,short-term stability,quality_attribute,stabilizes,1,1,high,The stability studies showed that the standards were stable in the short-term.,34059373
candidate standards,sequence_structure,neutralization variability,quality_attribute,decreases,1,1,medium,the candidate standards could reduce the variations in neutralization titers between labs.,34059373
candidate standards,sequence_structure,comparability,quality_attribute,increases,1,1,medium,thus improve comparability of neutralizing antibody measurements.,34059373
standardized assessment,formulation_factor,quality,clinical_outcome,stabilizes,1,1,medium,This standard will contribute to the standardized assessment of the quality and efficacy of vaccines and therapeutics fo,34059373
CH1-CL crossover,sequence_structure,structural perturbation,quality_attribute,destabilizes,1,1,medium,CH1-CL-domain crossover does not induce significant perturbations of the structure.,23613981
ion-pairing reagents,formulation_factor,method development,quality_attribute,decreases,1,1,medium,...the sample preparation method was modified to include only volatile ion-pairing reagents in the buffer systems.,38812280
bMNP,formulation_factor,Th1 response,clinical_outcome,induces,1,1,high,the rapidly separable bMNP system induced the production of significant levels of a Th1-polarized T cell response.,40074159
mRNA-LNP,formulation_factor,degradation,degradation_pathway,destabilizes,1,1,medium,mRNA-LNP is unstable and easily degraded during the solidification of DMN.,40074159
bi-AbCap,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,the bi-AbCap possesses excellent stability and developability,26073904
bi-AbCap,sequence_structure,anti-tumor activity,clinical_outcome,increases,1,1,high,the bi-AbCap improves anti-tumor activity over individual monotherapies,26073904
bi-AbCap,sequence_structure,tumor growth,clinical_outcome,decreases,1,1,high,it exhibits superior inhibition of tumor growth,26073904
bi-AbCap,sequence_structure,tumor angiogenesis,clinical_outcome,decreases,1,1,high,powerful blockade of both direct tumor cell growth and tumor angiogenesis,26073904
cross-linking,sequence_structure,co-internalization,degradation_pathway,induces,1,1,medium,"capable of cross-linking VEGF to IGF-IR, leading to co-internalization and degradation of both targets",26073904
hinge and constant domains,sequence_structure,effector functions,clinical_outcome,modifies,1,1,high,hinge and constant domains of the antibody that engage host receptors or complement protein to mediate a myriad of effec,31231397
initial high molecular weight,quality_attribute,storage stability,quality_attribute,destabilizes,1,1,high,affects the storage stability of proteins,39426179
glycosylation manipulation,sequence_structure,effector functions,clinical_outcome,increases,1,1,medium,manipulation of the sequences and glycosylation of hinge and constant domains to enhance or reduce antibody effector fun,31231397
glycosylation manipulation,sequence_structure,circulation half-life,clinical_outcome,increases,1,1,medium,manipulation of the sequences and glycosylation of hinge and constant domains to enhance or reduce...circulating half-li,31231397
domain fusion,sequence_structure,thermal stability,quality_attribute,destabilizes,1,1,high,"extensive engineering...can compromise their thermal stability, conformational integrity, and overall functional perform",41079721
scFv variants,sequence_structure,aggregation propensity,degradation_pathway,increases,1,1,high,engineered fragments...display increased aggregation propensity.,41079721
higher polydispersity,quality_attribute,conformational stability,quality_attribute,decreases,1,1,high,higher polydispersity in DLS...and reduced conformational stability.,41079721
early elution peaks,quality_attribute,conformational stability,quality_attribute,decreases,1,1,high,early elution peaks in SEC...and reduced conformational stability.,41079721
altered thermal folding profiles,quality_attribute,conformational stability,quality_attribute,decreases,1,1,high,altered thermal folding profiles in nanoDSF...and reduced conformational stability.,41079721
increasing complexity,sequence_structure,clinical applications,clinical_outcome,requires,1,1,medium,With the increasing complexity of engineered antibody therapeutics...essential for advancing antibody candidates toward ,41079721
hinge and constant domains,sequence_structure,circulation half-life,clinical_outcome,modifies,1,1,high,hinge and constant domains of the antibody that engage host receptors or complement protein to mediate...regulate antibo,31231397
thermal stress,stress_condition,HMW formation,degradation_pathway,induces,1,1,high,generate protein solutions of different IHLs by thermal stress,39426179
initial high molecular weight,quality_attribute,loss of monomer rate,quality_attribute,destabilizes,1,1,medium,IHLs had a marginal influence on the loss of monomer rate,39426179
initial high molecular weight,quality_attribute,higher-order oligomer formation,degradation_pathway,induces,1,1,high,existing trimers/tetramers undergo conversion into higher-order oligomers at 40 C,39426179
initial high molecular weight,quality_attribute,HMW formation rate,quality_attribute,increases,1,1,high,exhibited an increased HMW formation rate above a threshold of >= 4 % IHL,39426179
initial high molecular weight,quality_attribute,decay rates,quality_attribute,increases,1,1,high,reflected in the monomer decay rates at 40 C,39426179
deamidation,degradation_pathway,drug efficacy,clinical_outcome,destabilizes,1,1,high,negative effect of these modifications on drug efficacy and stability.,30503708
isomerization,degradation_pathway,drug stability,clinical_outcome,destabilizes,1,1,high,negative effect of these modifications on drug efficacy and stability.,30503708
low pH,formulation_factor,succinimide stability,quality_attribute,stabilizes,1,1,high,"At low pH, succinimide is stable.",30503708
bMNP,formulation_factor,neutralizing antibodies,clinical_outcome,induces,1,1,high,the rapidly separable bMNP system induced the production of significant levels of neutralizing antibodies.,40074159
low pH digestion,formulation_factor,succinimide characterization,quality_attribute,promotes,1,1,high,low-pH protein digestion is used for detailed characterization of succinimide.,30503708
HIC method,formulation_factor,release and stability studies,quality_attribute,promotes,1,1,high,can be used for release and stability studies.,30503708
low pH peptide mapping,formulation_factor,HIC data,quality_attribute,correlates,1,1,medium,Good correlation was obtained between the data from low-pH protein digestion-based peptide mapping and the HIC-based met,30503708
HM-Fc5-HM-Fc6,formulation_factor,stability,quality_attribute,stabilizes,1,1,high,HM-Fc5 and HM-Fc6 retained the stability and function of the parental HM antibody,40864052
HM-Fc5-HM-Fc6,formulation_factor,in vivo pharmacokinetics,clinical_outcome,increases,1,1,high,exhibiting prolonged in vivo half-life,40864052
HM,sequence_structure,toxin-receptor binding,degradation_pathway,prevents,1,1,medium,blocking toxin-receptor binding and cellular entry.,40864052
key residues,sequence_structure,SV2 site,sequence_structure,modifies,1,1,medium,key residues involved in the interaction between HMs and AHC.,40864052
polyvinyl alcohol and trehalose,formulation_factor,mRNA-LNP stability,quality_attribute,increases,1,1,high,Our results demonstrate that the stability of the mRNA-LNP was obviously improved.,40074159
bMNP,formulation_factor,spike-specific antibody production,clinical_outcome,induces,1,1,high,the rapidly separable bMNP system induced the production of significant levels of spike-specific IgG antibodies.,40074159
succinimide,sequence_structure,characterization,quality_attribute,requires,1,1,medium,its analysis remains challenging due to its instability.,30503708
AL lambda chains,sequence_structure,number of mutations,sequence_structure,decreases,1,1,high,AL-associated lambda light chains had fewer mutations.,39641756
light chain variable genes,sequence_structure,AL amyloidosis risk,clinical_outcome,increases,1,1,high,Rarely-observed light chain variable genes may carry a high risk of AL amyloidosis.,39641756
amino acid sequence,sequence_structure,expression potential,quality_attribute,increases,1,1,high,The production potential of recombinant monoclonal antibody (mAb) expressing cell lines depends... on the intrinsic anti,31350616
somatic mutations,sequence_structure,expression potential,quality_attribute,modifies,1,1,medium,we investigated the influence of somatic mutations in the V(D)J sequence... on the expression potential.,31350616
germline-derived mAbs,sequence_structure,productivity,quality_attribute,destabilizes,1,1,medium,Significant differences in productivity were even observed between the germline-derived mAbs which did not undergo somat,31350616
germinalization,sequence_structure,mAb properties,quality_attribute,promotes,1,1,medium,germinalization represents a potential to improve mAb properties depending on the antibody's germline family.,31350616
germline family,sequence_structure,mAb properties,quality_attribute,requires,1,1,medium,germinalization represents a potential to improve mAb properties depending on the antibody's germline family.,31350616
simulation,formulation_factor,high affinity antibodies,sequence_structure,induces,1,1,medium,"computer simulation was first employed to screen the haptens of TCS, TCC and CP to prepare highly specific and high affi",41086498
H:P155G mutation,sequence_structure,Tm,quality_attribute,decreases,1,1,high,"the thermostability of the H:P155G...was significantly reduced, with decreases in Tm of 5.0C.",37390406
multi-immunochromatography assay,formulation_factor,stability,quality_attribute,promotes,1,1,medium,"Analysis of real samples confirmed strong consistency between MICA and HPLC-MS/MS results, with high accuracy, stability",41086498
multi-immunochromatography assay,formulation_factor,reliability,quality_attribute,promotes,1,1,medium,"Analysis of real samples confirmed strong consistency between MICA and HPLC-MS/MS results, with high accuracy, stability",41086498
CXCR2 antibodies,sequence_structure,tumor progression,clinical_outcome,destabilizes,1,1,high,CXCR2 inhibitory antibodies attenuate tumor progression,40058151
IgG,sequence_structure,CXCL8 signaling,degradation_pathway,inhibits,1,1,high,IgG18 and IgG56 antibodies antagonized CXCL8-induced CXCR2 signaling,40058151
IgG,sequence_structure,cell proliferation,clinical_outcome,destabilizes,1,1,high,suppressed CXCL8-mediated cell proliferation and migration,40058151
IgG,sequence_structure,apoptosis,clinical_outcome,induces,1,1,high,induced apoptosis in pancreatic cancer cells,40058151
CXCR2 antibodies,sequence_structure,tumor growth,clinical_outcome,decreases,1,1,high,"CXCR2 antibodies, IgG18 and IgG56, decreased tumor growth",40058151
Tc-complex,formulation_factor,binding to MCF 7,clinical_outcome,promotes,1,1,medium,both labeled and unlabeled PR81 were able to compete for binding to MCF 7 cells.,18848661
multi-immunochromatography assay,formulation_factor,high accuracy,quality_attribute,promotes,1,1,medium,"Analysis of real samples confirmed strong consistency between MICA and HPLC-MS/MS results, with high accuracy, stability",41086498
resveratrol,formulation_factor,stability,quality_attribute,increases,1,1,high,resveratrol increased the protein stability of EndoCD through suppression of chymotrypsin-like proteinase activity.,28401019
EndoCD,sequence_structure,tumor angiogenesis,degradation_pathway,destabilizes,1,1,medium,This protein selectively binds to tumor vessels to compromise tumor angiogenesis.,28401019
EndoCD,sequence_structure,5-fluorouracil,clinical_outcome,induces,1,1,high,converts the non-toxic 5-fluorocytosine (5-FC) to the cytotoxic 5-fluorouracil.,28401019
EndoCD regimen,formulation_factor,tumoral vascular density,quality_attribute,decreases,1,1,high,the EndoCD/5-FC/resveratrol regimen decreased intratumoral vascular density.,28401019
EndoCD regimen,formulation_factor,tumor growth,clinical_outcome,decreases,1,1,high,leading to reduced tumor growth.,28401019
EndoCD regimen,formulation_factor,survival,clinical_outcome,increases,1,1,high,leading to extended survival.,28401019
peptide stapling,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,"peptide stapling, a chemical modification that stabilises peptide alpha-helices through covalent linkage",40955200
peptide stapling,sequence_structure,bioavailability,clinical_outcome,increases,1,1,medium,"stapling techniques... are explored for their ability to improve peptide stability, bioavailability and target binding a",40955200
AL kappa chains,sequence_structure,number of mutations,sequence_structure,increases,1,1,high,AL-associated kappa light chains harboured significantly more mutations compared to multiple myeloma.,39641756
aggregation of therapeutic antibodies,degradation_pathway,immunogenic response,clinical_outcome,induces,1,1,high,aggregation of therapeutic antibodies contributes to inducing an immunogenic response.,41554462
heat stress,stress_condition,IFX aggregates,degradation_pathway,induces,1,1,high,we generated aggregates by submitting infliximab (IFX) to a heat stress.,41554462
IFX aggregates,degradation_pathway,THP-1 internalization,quality_attribute,increases,1,1,high,IFX aggregates are more internalized by THP-1 compared to the native antibody.,41554462
FcgammaRIIa-Syk activation,degradation_pathway,THP-1 phenotype,sequence_structure,modifies,1,1,high,to modify THP-1 cells phenotype through the activation of the FcgammaRIIa-Syk pathway.,41554462
Syk activation,degradation_pathway,ERK activation,degradation_pathway,induces,1,1,high,and to activate Syk in a Src-dependent manner. ERK kinase was also activated.,41554462
PFT strategy,formulation_factor,IND submission acceleration,clinical_outcome,increases,1,1,high,the toxicology studies can be accelerated significantly (approximately 4months),28371489
lead cell lines,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,was shown to have stability comparable to the material generated by the associated pool,28371489
PFT strategy,formulation_factor,product quality,quality_attribute,induces,1,1,medium,demonstrate the feasibility of using a pool of clonally derived cell lines to generate material of similar product quali,28371489
light chain sequences,sequence_structure,amyloid deposition,clinical_outcome,induces,1,1,high,Defining how these sequences drive amyloid deposition could facilitate faster diagnosis.,39641756
peptide stapling,sequence_structure,binding affinity,clinical_outcome,increases,1,1,medium,"stapling techniques... are explored for their ability to improve peptide stability, bioavailability and target binding a",40955200
ester linkers,sequence_structure,esterase metabolism,degradation_pathway,destabilizes,1,1,high,the use of esters in antibody-drug-conjugate (ADC) payloads and linkers has generally been avoided due to the ubiquitous,36058468
ester linkers,sequence_structure,ester-containing linkers cleavage,degradation_pathway,induces,1,1,high,it is largely unclear whether lysosomal and cytosolic esterases cleave ester-containing linkers upon ADC internalization,36058468
cytosolic esterases,sequence_structure,ester-containing linkers cleavage,degradation_pathway,promotes,1,1,high,"ADCs bearing the ester-linked payloads are active in various immune-suppressive assays, suggesting that cytosolic cleava",36058468
ester linkage,sequence_structure,site-dependence,quality_attribute,correlates,1,1,medium,there is a significant site-dependence on the cleavage.,36058468
ester linkages,sequence_structure,rapid cleavage,degradation_pathway,destabilizes,1,1,high,"Esters attached at highly exposed sites, such as 443C, were rapidly cleaved in plasma.",36058468
ester linkages,sequence_structure,not cleaved,degradation_pathway,stabilizes,1,1,high,"esthers at more hindered sites, such at 334C, were not.",36058468
DTPA,formulation_factor,oxidation,degradation_pathway,inhibits,1,1,high,DTPA was equivalent to Na(2)EDTA with respect to inhibiting iron-induced degradation.,20737631
sufficient chelator,formulation_factor,degradation,degradation_pathway,decreases,1,1,high,both Na(2)EDTA and DTPA exhibited the capacity to reduce protein degradation.,20737631
Tc-complex,formulation_factor,specific localization,clinical_outcome,promotes,1,1,medium,demonstrated a specific localization of the compound at the site of tumors.,18848661
bound iron,stress_condition,thermodynamic stability,quality_attribute,decreases,1,1,high,bound iron did not measurably alter the secondary or the tertiary structure of the mAb but appeared to decrease its intr,20737631
DTPA ratios,formulation_factor,destabilization,degradation_pathway,prevents,1,1,high,destabilization effects were not observed when the chelators were present at stoichiometric ratios.,20737631
F130A mutation,sequence_structure,thermostability,quality_attribute,destabilizes,1,1,high,six Fab mutants...showed decreased thermostability compared with wild-type Fab.,37390406
F154A mutation,sequence_structure,thermostability,quality_attribute,destabilizes,1,1,high,six Fab mutants...showed decreased thermostability compared with wild-type Fab.,37390406
F174A mutation,sequence_structure,thermostability,quality_attribute,destabilizes,1,1,high,six Fab mutants...showed decreased thermostability compared with wild-type Fab.,37390406
F118A mutation,sequence_structure,thermostability,quality_attribute,destabilizes,1,1,high,six Fab mutants...showed decreased thermostability compared with wild-type Fab.,37390406
F139A mutation,sequence_structure,thermostability,quality_attribute,destabilizes,1,1,high,six Fab mutants...showed decreased thermostability compared with wild-type Fab.,37390406
F209A mutation,sequence_structure,thermostability,quality_attribute,destabilizes,1,1,high,six Fab mutants...showed decreased thermostability compared with wild-type Fab.,37390406
F116A mutation,sequence_structure,Tm,quality_attribute,increases,1,1,high,the Tm for the L:F116A mutant was 1.7C higher than that of wild-type Fab.,37390406
substoichiometric ratios,formulation_factor,iron-induced degradation,degradation_pathway,prevents,1,1,high,substoichiometric ratios of both chelators were unable to inhibit the degradation induced by free iron ions.,20737631
Tc-complex,formulation_factor,minimum accumulation,clinical_outcome,promotes,1,1,medium,minimum accumulation in non target organs.,18848661
labeling efficiency,quality_attribute,in vitro stability,quality_attribute,correlates,1,1,medium,The in vitro stability of labeled product was determined at room temperature.,18848661
no fragmentation,quality_attribute,integrity,quality_attribute,stabilizes,1,1,high,no significant fragmentation was seen.,18848661
Tc-labeled antibody,formulation_factor,tumor imaging,clinical_outcome,promotes,1,1,medium,The tumors were visualized with high sensitivity after 8 h.,18848661
biophysical properties,quality_attribute,developability,clinical_outcome,requires,1,1,high,critical factors influencing mAb development are their biophysical properties,39606945
machine learning,formulation_factor,predict stability,quality_attribute,promotes,1,1,high,machine learning models we developed outperform previous methods in predicting most biophysical properties,39606945
DeepSP model,formulation_factor,predictability,quality_attribute,correlates,1,1,medium,DeepSP model yields similar predictive results compared to molecular dynamic simulations,39606945
structural characteristics,sequence_structure,immunochemical activity,clinical_outcome,requires,1,1,medium,criteria for understanding the relationships between the structural characteristics of antigens and their immunochemical,41465289
long-term storage,quality_attribute,candidate selection,formulation_factor,correlates,1,1,medium,"long-term storage stability profiles of aluminum-adjuvanted, quadrivalent HPV VLP formulations containing these lead can",36096284
cross-reactivity,sequence_structure,betweenness centrality,quality_attribute,increases,1,1,medium,the sum of betweenness centrality between a node corresponding to the quinolone ring and nodes representing MAb amino ac,41465289
molecular docking,degradation_pathway,compound discrimination,quality_attribute,destabilizes,1,1,medium,molecular docking fails to discriminate cross-reactive from non-cross-reactive compounds.,41465289
polyclonal antibodies,sequence_structure,high stability,quality_attribute,increases,1,1,high,"polyclonal antibodies offer several advantages over monoclonal antibodies in terms of shorter production time, lower cos",41545441
RPAD,sequence_structure,sensitivity and specificity,clinical_outcome,induces,1,1,high,we have raised Rabbit Polyclonal Antibodies against the Dengue NS1 antigen (RPAD) and evaluated their sensitivity and sp,41545441
RPAD,sequence_structure,consistent immunoreactivity,quality_attribute,stabilizes,1,1,high,The RPAD demonstrated consistent immunoreactivity toward recombinant NS1 antigens of all four dengue virus serotypes.,41545441
preservatives,formulation_factor,antigen stability,quality_attribute,destabilizes,1,1,high,antimicrobial preservatives (APs) often destabilize protein antigens.,36096284
lower concentration,formulation_factor,antigen stability,quality_attribute,stabilizes,1,1,medium,"combining different APs used in approved parenteral products, each at lower concentrations than used alone, would mainta",36096284
OFAT results,quality_attribute,AP optimization,formulation_factor,requires,1,1,medium,initial OFAT results (and associated lessons learned) were subsequently employed to optimize the combinations using DOE.,36096284
AP combinations,formulation_factor,growth inhibition,quality_attribute,promotes,1,1,medium,screen for two- and three-AP combinations using high-throughput methods for antimicrobial effectiveness.,36096284
MAb antigen-binding site,sequence_structure,binding affinity,quality_attribute,modifies,1,1,medium,"differences in analyte interactions at the MAb antigen-binding site, which determines binding affinity.",41465289
99mTc-IgG,sequence_structure,target-to-background ratio,quality_attribute,correlates,1,1,medium,"At all three imaging times, target-to-background ratio and percent residual activity for the two compounds were remarkab",2266401
99mTc-IgG,sequence_structure,blood clearance,quality_attribute,correlates,1,1,medium,Blood clearance of both antibody preparations was well described by a bi-exponential function.,2266401
99mTc-IgG,sequence_structure,imaging properties,clinical_outcome,stabilizes,1,1,medium,These studies establish that human polyclonal IgG labeled with 99mTc... is equivalent to 111In-IgG for imaging focal sit,2266401
ADCT-601 binding,sequence_structure,PBD dimer release,degradation_pathway,induces,1,1,high,"ADCT-601 bound to both soluble and membranous AXL, and was rapidly internalized by AXL-expressing tumor cells, allowing ",35086955
release of PBD dimer,degradation_pathway,DNA cross-linking,degradation_pathway,induces,1,1,high,"allowing release of PBD dimer, DNA interstrand cross-linking, and subsequent cell killing.",35086955
ADCT-601,sequence_structure,antitumor activity,clinical_outcome,promotes,1,1,high,ADCT-601 had potent and durable antitumor activity in a wide variety of human cancer xenograft mouse models.,35086955
ADCT-601,sequence_structure,excellent stability,quality_attribute,stabilizes,1,1,high,ADCT-601 was well tolerated at doses of up to 6 mg/kg and showed excellent stability in vivo.,35086955
ADCT-601 activity,clinical_outcome,superior to comparator,clinical_outcome,increases,1,1,medium,ADCT-601 antitumor activity was markedly superior to an auristatin-based comparator ADC.,35086955
in vivo stability,quality_attribute,premature release,degradation_pathway,destabilizes,1,1,high,Persistent challenges include in vivo stability (premature drug release and metabolic clearance).,41710577
PEG precipitation assay,formulation_factor,colloidal stability,quality_attribute,stabilizes,1,1,high,verification of the usefulness of three different parameters from PEG-induced protein precipitation assays for ranking c,37867303
pH,formulation_factor,colloidal stability,quality_attribute,modifies,1,1,medium,systematic evaluation of the effects of pH and buffer salts on colloidal stability,37867303
buffer salts,formulation_factor,colloidal stability,quality_attribute,modifies,1,1,medium,systematic evaluation of the effects of pH and buffer salts on colloidal stability,37867303
low concentration,formulation_factor,colloidal stability,quality_attribute,correlates,1,1,medium,analysis of the correlation between the results of low concentration assays and the high concentration attributes,37867303
[Cho][Nic],formulation_factor,iFMDV stability,quality_attribute,stabilizes,1,1,high,"[Cho][Nic], which was found to stabilize iFMDV against the acid- and thermo- induced dissociation",35934167
o/IL nanoemulsion,formulation_factor,thermostability,quality_attribute,increases,1,1,high,thermostability and long-term stability of iFMDV were remarkably enhanced in o/IL nanoemulsion,35934167
o/IL nanoemulsion,formulation_factor,humoral response,clinical_outcome,promotes,1,1,high,o/IL nanoemulsion exerted its adjuvant effects by improving the humoral immune responses,35934167
o/IL nanoemulsion,formulation_factor,IgG titers,quality_attribute,increases,1,1,high,induced specific IgG titers similar to that adjuvanted by Montanide ISA 206,35934167
ADCT-601,sequence_structure,synergized with olaparib,clinical_outcome,promotes,1,1,medium,ADCT-601 had antitumor activity in a monomethyl auristatin E-resistant lung-cancer model and synergized with the PARP in,35086955
glycosylation,sequence_structure,half-life,quality_attribute,increases,1,1,high,"It is a critical quality attribute as it impacts product solubility, stability, half-life, pharmacokinetics and pharmaco",32334683
glycosylation,sequence_structure,pharmacokinetics,quality_attribute,increases,1,1,high,"It is a critical quality attribute as it impacts product solubility, stability, half-life, pharmacokinetics and pharmaco",32334683
glycosylation,sequence_structure,bioactivity,quality_attribute,increases,1,1,high,"It is a critical quality attribute as it impacts product solubility, stability, half-life, pharmacokinetics and pharmaco",32334683
glycosylation,sequence_structure,safety,clinical_outcome,increases,1,1,high,"It is a critical quality attribute as it impacts product solubility, stability, half-life, pharmacokinetics and pharmaco",32334683
FTIR spectra,quality_attribute,glycosylation profile,quality_attribute,modifies,1,1,medium,FTIR spectra of glycoproteins provide a global but accurate fingerprint of the glycosylation profile.,32334683
FTIR spectra,quality_attribute,spectral variations,quality_attribute,induces,1,1,medium,FTIR spectra of glycoproteins display spectral variations according to their glycan and monosaccharide compositions.,32334683
Fc glyco-pairs,sequence_structure,Fc receptor binding,clinical_outcome,increases,1,1,high,asymmetrical Fc glyco-pairs is often overlooked in assessing Fc receptor binding,40534672
single afucosylation,sequence_structure,affinity,quality_attribute,increases,1,1,high,single afucosylation significantly increased the affinity for FcgammaRIIIa,40534672
technetium-99m-IgG,sequence_structure,biodistribution,clinical_outcome,correlates,1,1,medium,"Biodistributions in the solid organs were similar, however, small but statistically significant differences were detecte",2266401
galactosylation,sequence_structure,whole effect,clinical_outcome,induces,1,1,medium,asymmetrical galactosylation being sufficient for the whole effect,40534672
afucosylation,sequence_structure,FcgammaRIIb binding,clinical_outcome,increases,1,1,high,"for FcgammaRIIb, afucosylation was more important",40534672
galactosylation,sequence_structure,FcgammaRIIb binding,clinical_outcome,decreases,1,1,medium,galactosylation played a minor role,40534672
N-glycosylation,sequence_structure,thermal stability,quality_attribute,stabilizes,1,1,high,N-glycosylation...impact...thermal stability and propensity for protein aggregation.,30466347
fucosylation,sequence_structure,FcgammaRIIIa binding,clinical_outcome,destabilizes,1,1,medium,core fucosylation...impact...FcgammaRIIIa binding.,30466347
non-reducing galactosylation,sequence_structure,ADCC,clinical_outcome,destabilizes,1,1,medium,non-reducing terminal galactosylation...impact...antibody-dependent cell-mediated cytotoxicity.,30466347
sialylation,sequence_structure,C1q binding,clinical_outcome,destabilizes,1,1,medium,sialylation...impact...C1q binding.,30466347
mannosylation,sequence_structure,FcRn binding,clinical_outcome,destabilizes,1,1,medium,mannosylation...impact...FcRn binding.,30466347
N-glycan structure,sequence_structure,aggregation,degradation_pathway,promotes,1,1,medium,...evaluate the effect of each N-glycan structure on...propensity for protein aggregation.,30466347
galactosylation,sequence_structure,FcgammaRIIa binding,clinical_outcome,promotes,1,1,high,Galactosylation...played a crucial role in FcgammaRIIa binding,40534672
mAb,sequence_structure,antigen detection,quality_attribute,increases,1,1,medium,"the mAb, b10c1, as a detector... showed the highest absorbance to detect 50pg/ml PfHRP2 antigen",33612757
HSP90,sequence_structure,RDH5 degradation,degradation_pathway,inhibits,1,1,high,HSP90 stabilizes visual cycle retinol dehydrogenase 5 by inhibiting its degradation during autophagy.,39725039
